timestamp,packet_drop_percentage,bits_per_second,jitter_ms,seconds,receiver_txpower,sender_txpower,receiver_sender_SNR,sender_receiver_SNR,receiver_sender_RSSI,sender_receiver_RSSI,receiver_noise,sender_noise,route
2024-11-19 15:20:51.605778944,51.50344827586207,3850612.166823059,15.64295458740143,11.006529,12,12,0,5,-90,-85,-91,-91,"['spitz3', 'spitz1']"
2024-11-19 15:21:30.151185152,48.49738075544527,2779256.289482749,26.24164247360661,15.196458,12,12,2,1,-88,-89,-90,-90,"['spitz3', 'spitz1']"
2024-11-19 15:21:46.600712960,49.65725253633123,4327129.149911233,10.309346259106324,9.87413,12,12,0,1,-90,-89,-90,-90,"['spitz3', 'spitz1']"
2024-11-19 15:21:57.532183040,45.820689655172416,3690505.236412847,20.2849690360018,11.709808,12,12,-2,1,-93,-89,-91,-90,"['spitz3', 'spitz1']"
2024-11-19 15:22:10.227977984,49.917491749174914,4800327.684969286,8.35803455726016,8.810463,12,12,1,-1,-91,-90,-92,-90,"['spitz3', 'spitz1']"
2024-11-19 15:22:39.611422976,43.033123460169726,4471825.70513166,6.405588831864484,9.524312,12,12,3,0,-88,-89,-91,-89,"['spitz3', 'spitz1']"
2024-11-19 15:22:50.228945920,68.3356258596974,8154631.768195695,9.78993283199672,5.267031,12,12,-2,0,-92,-89,-89,-90,"['spitz3', 'spitz1']"
2024-11-19 15:22:56.590401024,48.50562105840417,4297660.3622491,8.04026274031269,9.912524,12,12,2,-1,-89,-91,-91,-90,"['spitz3', 'spitz1']"
2024-11-19 15:23:07.547249152,47.68595041322314,4964230.031497656,5.638659417246836,8.510194,12,12,1,0,-90,-90,-91,-90,"['spitz3', 'spitz1']"
2024-11-19 15:23:17.094008832,51.71176145775814,3849903.0586901526,6.17841197713537,11.060655,12,12,-2,-1,-92,-91,-90,-90,"['spitz3', 'spitz1']"
2024-11-19 15:23:29.385547008,9.31899641577061,5640148.414555282,2.980502250129042,7.587036,14,14,2,1,-89,-88,-91,-90,"['spitz3', 'spitz1']"
2024-11-19 15:23:38.051558144,4.141358365543899,9998277.591841707,6.426309664857764,5.200091,14,14,3,0,-88,-90,-91,-91,"['spitz3', 'spitz1']"
2024-11-19 15:23:44.167439872,34.453318645001374,5432703.21309785,5.77001149141741,7.893621,14,14,4,2,-88,-87,-91,-89,"['spitz3', 'spitz1']"
2024-11-19 15:23:53.004060928,41.68270552653286,5276129.58505417,10.937459765377238,8.063199,14,14,1,2,-88,-87,-91,-90,"['spitz3', 'spitz1']"
2024-11-19 15:24:02.057414144,35.391400220507165,4474810.003724467,3.078813237609008,9.443662,14,14,3,5,-87,-84,-90,-90,"['spitz3', 'spitz1']"
2024-11-19 15:24:12.523657984,35.70052298375998,4862672.579267188,8.02434633726818,8.835258,14,14,4,2,-87,-86,-91,-88,"['spitz3', 'spitz1']"
2024-11-19 15:24:22.394125824,39.0560309136075,4762550.355981326,4.204782757152072,9.050904,14,14,6,3,-86,-87,-92,-90,"['spitz3', 'spitz1']"
2024-11-19 15:24:32.390587136,34.29752066115702,4637588.58169478,8.107892339076987,9.131495,14,14,2,3,-88,-86,-89,-90,"['spitz3', 'spitz1']"
2024-11-19 15:24:42.608968960,47.16721672167217,4672763.802477657,5.89721067046703,9.056505,14,14,2,6,-89,-84,-91,-90,"['spitz3', 'spitz1']"
2024-11-19 15:24:52.808382976,43.19559228650138,4165816.3598995567,7.529577696953137,10.169297,14,14,3,3,-87,-87,-90,-90,"['spitz3', 'spitz1']"
2024-11-19 15:25:05.264896,6.042296072507553,8224261.539406502,1.3402943728010404,5.191463,20,19,6,1,-84,-88,-91,-89,"['spitz3', 'spitz1']"
2024-11-19 15:25:11.448065024,0.027609055770292656,9998175.1146274,2.778563684365101,4.247961,20,19,5,7,-86,-83,-91,-90,"['spitz3', 'spitz1']"
2024-11-19 15:25:16.636004096,0.2484815019326339,9998361.005078595,1.3883150165024063,4.263312,20,19,5,9,-85,-81,-90,-90,"['spitz3', 'spitz1']"
2024-11-19 15:25:21.813481216,0.35891772501380453,9998282.35827489,1.329943803173079,4.203257,20,19,8,7,-83,-81,-91,-89,"['spitz3', 'spitz1']"
