timestamp,packet_drop_percentage,bits_per_second,jitter_ms,seconds,receiver_txpower,sender_txpower,receiver_sender_SNR,sender_receiver_SNR,receiver_sender_RSSI,sender_receiver_RSSI,receiver_noise,sender_noise,route
2025-01-21 09:45:57.157880064,0,9998284.74149319,1.1175848595335827,4.202935,17,20,4,8,-87,-83,-92,-91,[]
2025-01-21 09:46:02.259677952,0,9998294.27437774,0.6894349923268852,4.199001,17,20,5,8,-87,-83,-91,-91,[]
2025-01-21 09:46:07.210088960,0.11043622308117063,9998361.005078595,1.6245422235580533,4.207195,17,20,8,6,-84,-83,-91,-89,[]
2025-01-21 09:46:12.203098112,0.11043622308117063,9998196.563172847,0.828195708662453,4.196767,17,20,5,4,-87,-86,-92,-90,[]
2025-01-21 09:46:17.130244096,0.05521811154058531,9998251.376540415,0.8275839285338503,4.1975,17,20,5,5,-87,-85,-92,-90,[]
2025-01-21 09:46:22.056782848,0,9998308.573738653,1.2575601566844163,4.203201,17,20,5,8,-86,-83,-91,-91,[]
2025-01-21 09:46:26.999213824,0,9998256.142948605,1.2315584449276538,4.204955,17,20,3,5,-88,-86,-91,-91,[]
2025-01-21 09:46:31.948281088,0,9998330.02285671,1.3474621057341591,4.202941,17,20,9,9,-83,-82,-92,-91,[]
2025-01-21 09:46:36.885817088,0.13804527885146328,9998337.17258318,0.9977139116932674,4.198282,17,20,9,5,-83,-85,-91,-90,[]
2025-01-21 09:46:41.931150848,0.16565433462175594,9998339.55582761,3.9223606389827674,4.290373,17,20,5,6,-86,-84,-92,-89,[]
2025-01-21 09:46:46.958530816,0,9998346.70556771,1.3856167157170796,4.207049,17,20,5,2,-86,-86,-92,-88,[]
2025-01-21 09:46:52.013484032,0.027609055770292656,9998365.771591313,1.2336551266407174,4.198614,18,18,1,6,-90,-84,-91,-90,[]
2025-01-21 09:46:56.954808064,0.05521811154058531,9998372.92136891,1.0116678905162257,4.210894,18,18,6,6,-85,-84,-91,-90,[]
2025-01-21 09:47:01.889179904,0,9998341.939073175,1.4721009907073337,4.202975,18,18,7,4,-85,-85,-91,-88,[]
2025-01-21 09:47:06.798390016,0.05521811154058531,9998389.60422307,1.374772662527369,4.209865,18,18,6,5,-85,-84,-91,-89,[]
2025-01-21 09:47:11.749044992,0,9998353.85531804,1.2471266128478065,4.201309,18,18,4,9,-87,-82,-91,-91,[]
2025-01-21 09:47:16.660284160,0.19273127753303965,9624900.74406209,3.207909893866557,4.411903,18,18,5,7,-87,-84,-92,-91,[]
2025-01-21 09:47:21.836862976,0.16565433462175594,9998299.040826833,1.2227431987424453,4.206552,18,18,6,8,-85,-83,-91,-91,[]
2025-01-21 09:47:26.771159040,0,9998289.507933194,2.6296592061165716,4.267357,18,18,7,7,-85,-83,-92,-90,[]
2025-01-21 09:47:31.762542080,0,9998330.02285671,1.7803411147832247,4.290547,18,18,6,7,-85,-84,-91,-91,[]
2025-01-21 09:47:53.576649984,0,9998315.723434446,1.6211038424670987,4.235015,18,18,1,9,-90,-81,-91,-90,[]
2025-01-21 09:47:58.673829120,0.05521811154058531,9998322.873140465,1.2276895577806537,4.202881,17,20,4,6,-87,-85,-92,-91,[]
2025-01-21 09:48:03.618956032,0.7730535615681944,9998296.65760172,1.2833662491438953,4.206976,17,20,10,5,-82,-85,-92,-90,[]
2025-01-21 09:48:08.546848,0.027609055770292656,9998284.74149319,1.0606732064626871,4.196813,17,20,6,6,-85,-85,-92,-91,[]
2025-01-21 09:48:13.458992896,0.05521811154058531,9998232.310953094,1.4553072695825309,4.200164,17,20,8,5,-83,-85,-92,-90,[]
2025-01-21 09:48:18.470580992,0,9998218.01181032,2.444824273615255,4.280109,17,20,7,8,-83,-82,-90,-90,[]
2025-01-21 09:48:23.497510912,0,9998179.88096288,1.44555791736044,4.205061,17,20,4,6,-87,-85,-92,-91,[]
2025-01-21 09:48:28.488576768,0.027609055770292656,9998334.789339887,1.2492637854788884,4.198119,17,20,9,5,-83,-84,-92,-89,[]
2025-01-21 09:48:33.411762944,0.027609055770292656,9998318.10666865,1.36547782391227,4.204171,17,20,9,6,-82,-84,-92,-90,[]
2025-01-21 09:48:38.327800064,0,9998330.02285671,1.3655925150841624,4.202571,17,20,9,5,-82,-86,-91,-90,[]
2025-01-21 09:48:43.250021888,0.11043622308117063,9998349.088816686,1.1611908263876112,4.202086,17,20,8,5,-83,-86,-92,-90,[]
2025-01-21 09:48:48.292880128,0,9998368.154849377,2.0060731526761253,4.213855,17,20,9,5,-83,-85,-92,-90,[]
2025-01-21 09:48:53.234891776,0.027609055770292656,9998330.02285671,1.2298887450683536,4.199462,17,20,4,7,-87,-85,-91,-92,[]
2025-01-21 09:48:58.165880832,0.027609055770292656,9998294.27437774,1.219926150504259,4.198963,17,20,9,2,-83,-85,-91,-89,[]
2025-01-21 09:49:03.096316160,0.13804527885146328,9998358.62182394,1.4844666883225988,4.220328,17,20,8,4,-83,-85,-91,-89,[]
2025-01-21 09:49:08.041723904,0,9998315.723434446,1.2991755084176426,4.197813,17,20,8,7,-83,-84,-91,-90,[]
2025-01-21 09:49:12.956681984,0,9998332.40609773,0.997657762599805,4.202882,17,20,11,6,-81,-85,-92,-91,[]
2025-01-21 09:49:17.892521984,0,9998294.27437774,1.5242443135078028,4.220442,17,20,6,5,-86,-86,-92,-90,[]
2025-01-21 09:49:22.858364160,0.027609055770292656,9998215.628623834,1.2426213147169414,4.198908,17,20,7,4,-84,-86,-91,-90,[]
2025-01-21 09:49:27.788399104,0.11043622308117063,9998372.92136891,1.0887656166951805,4.200339,17,20,4,5,-87,-84,-91,-89,[]
2025-01-21 09:49:32.749371136,0,9998377.68789299,1.3600192387032912,4.203643,17,20,6,3,-86,-85,-91,-88,[]
2025-01-21 09:49:37.780478976,0,9998303.80728047,2.7482978461465573,4.211688,18,18,3,6,-88,-84,-92,-90,[]
2025-01-21 09:49:42.760071936,0.1932633903920486,9998279.97505773,0.9336069448755547,4.198761,18,18,6,4,-85,-84,-92,-88,[]
2025-01-21 09:49:47.673477888,0.08282716731087797,9998144.13355755,1.4131432175806018,4.204075,18,18,7,8,-84,-83,-92,-91,[]
2025-01-21 09:49:52.607960064,0,9998337.17258318,2.075581400987061,4.219635,18,18,3,7,-88,-84,-92,-91,[]
2025-01-21 09:49:57.560048128,0,9998332.40609773,1.8438191069340404,4.214884,18,18,1,6,-90,-84,-92,-90,[]
2025-01-21 09:50:02.505763072,0.027609055770292656,9998363.388334386,1.2376919450900492,4.214218,18,18,3,6,-89,-84,-92,-90,[]
2025-01-21 09:50:07.519162880,0.027609055770292656,9998239.46053982,0.958387021867399,4.208018,18,18,5,6,-86,-85,-92,-91,[]
2025-01-21 09:50:12.453687808,0.11043622308117063,9998356.238570424,1.6665447068445463,4.215086,18,18,3,6,-89,-84,-91,-89,[]
2025-01-21 09:50:17.401516800,0.08282716731087797,9998349.088816686,2.34957900819467,4.223406,18,18,7,7,-85,-84,-91,-90,[]
2025-01-21 09:50:22.360333824,0.11043622308117063,9998322.873140465,1.218635991056108,4.198152,18,18,2,8,-89,-83,-92,-91,[]
2025-01-21 09:50:27.410803200,0.13804527885146328,9998315.723434446,1.3344954707997614,4.201817,20,19,7,8,-84,-84,-92,-91,[]
2025-01-21 09:50:32.340000,0.027609055770292656,9998358.62182394,1.53761079743264,4.255849,20,19,4,5,-87,-83,-91,-90,[]
2025-01-21 09:50:37.320292096,0,9998289.507933194,1.1616885492785716,4.200094,20,19,8,6,-84,-83,-91,-89,[]
2025-01-21 09:50:42.367648,0,9998353.85531804,2.8363271265636834,4.257972,20,19,3,9,-88,-81,-91,-89,[]
2025-01-21 09:50:47.369108992,0.05521811154058531,9998201.329528777,0.6968316611936244,4.197849,20,19,6,9,-86,-80,-92,-88,[]
2025-01-21 09:50:52.300756992,0,9998322.873140465,1.14604212075065,4.199223,20,19,5,7,-86,-82,-92,-89,[]
2025-01-21 09:50:57.226102016,0.2484815019326339,9998327.639616825,1.2678556216293106,4.215076,20,19,5,7,-86,-82,-91,-90,[]
2025-01-21 09:51:02.193701120,0,9998330.02285671,1.4541173837223527,4.20557,20,19,11,8,-80,-80,-91,-88,[]
2025-01-21 09:51:07.130530048,0.027609055770292656,9998272.825413063,0.9537669140083033,4.19754,20,19,7,12,-84,-79,-92,-91,[]
2025-01-21 09:51:23.269624064,0.08282716731087797,9998117.918956103,1.700275370257756,4.205851,20,19,4,9,-87,-83,-92,-91,[]
2025-01-21 09:51:28.313620992,0,9998289.507933194,1.365931948597783,4.198176,18,19,4,6,-88,-84,-92,-90,[]
2025-01-21 09:51:33.242925824,0,9998187.03047462,1.094927328976427,4.281376,18,19,8,7,-84,-83,-92,-90,[]
2025-01-21 09:51:38.260566016,0,9998380.07115673,0.9728135966676126,4.220792,18,19,7,8,-84,-83,-92,-91,[]
2025-01-21 09:51:43.202923008,0,9998358.62182394,0.9829574677104115,4.205459,18,19,5,7,-87,-84,-91,-91,[]
2025-01-21 09:51:48.175312896,2.2087244616234125,9998225.161376594,1.1953626375675448,4.20734,18,19,8,8,-83,-84,-91,-91,[]
2025-01-21 09:51:53.112803072,0.9876543209876543,9571778.45463028,0.9829802869683437,4.422414,18,19,6,6,-85,-85,-91,-91,[]
2025-01-21 09:51:58.336282880,0,9998301.424053084,3.4537953971508,4.683265,18,19,3,7,-88,-83,-91,-90,[]
2025-01-21 09:52:03.749197056,0,9998287.124712624,0.7437944864385998,4.204596,18,19,10,8,-82,-83,-92,-92,[]
2025-01-21 09:52:08.716012032,0.08282716731087797,9998327.639616825,1.5531037784257125,4.204177,18,19,3,8,-88,-83,-91,-91,[]
2025-01-21 09:52:14.715663872,0.027609055770292656,9998365.771591313,1.5573522478476844,4.200077,18,19,7,5,-84,-85,-91,-90,[]
2025-01-21 09:52:20.912946944,0.2484815019326339,9998306.190508993,1.3009892542945922,4.198516,17,19,9,9,-82,-81,-91,-90,[]
2025-01-21 09:52:25.866190848,0,9998189.413647475,1.2623851986645525,4.203121,17,19,10,4,-81,-85,-91,-89,[]
2025-01-21 09:52:30.795929856,0.027609055770292656,9998377.68789299,1.3302439045031433,4.198903,17,19,8,3,-83,-85,-92,-88,[]
2025-01-21 09:52:35.736067072,0.11043622308117063,9998296.65760172,1.155750007777426,4.200237,17,19,5,-3,-87,-93,-91,-90,[]
2025-01-21 09:52:40.660971008,2.6453568476164233,7935927.122500905,4.577777312410037,5.320797,17,19,6,7,-84,-84,-91,-91,[]
2025-01-21 09:52:46.788845056,0,9998272.825413063,1.6016214497927672,4.243942,17,19,8,7,-83,-84,-91,-91,[]
2025-01-21 09:53:03.002532096,14.24627277747101,9998396.75403475,0.922100495917124,4.551944,17,19,3,5,-89,-86,-92,-91,[]
2025-01-21 09:53:08.364536064,0.1380071763731714,9766384.922162283,2.2273405260209853,4.325014,17,19,3,7,-88,-84,-91,-91,[]
2025-01-21 09:53:13.461579008,0,9998341.939073175,1.1564348008278638,4.20255,17,19,7,4,-84,-86,-92,-90,[]
2025-01-21 09:53:18.411600128,0.11043622308117063,9998153.66617398,1.7058203435035406,4.241518,17,19,5,7,-86,-84,-91,-91,[]
2025-01-21 09:53:23.632335872,0.027510316368638238,9762014.316884616,2.549315928773681,4.353265,20,18,7,7,-85,-82,-91,-89,[]
2025-01-21 09:53:28.793700096,0.027609055770292656,9998349.088816686,1.6550256008553077,4.23605,20,18,3,9,-88,-82,-91,-91,[]
2025-01-21 09:53:33.766288896,0.027609055770292656,9998346.70556771,1.1975331061188177,4.203168,20,18,3,7,-89,-82,-92,-89,[]
2025-01-21 09:53:38.693147904,0.16570008285004142,9998487.319201155,1.7027670169507154,4.323046,20,18,4,9,-88,-82,-92,-91,[]
2025-01-21 09:53:43.764240896,0.7713498622589532,7243931.115139123,1.1813584292329353,5.864151,20,18,2,8,-89,-83,-91,-91,[]
2025-01-21 09:53:50.455745024,0.743801652892562,8697734.920036225,1.527126675664156,4.929561,20,18,3,9,-88,-82,-92,-91,[]
2025-01-21 09:54:09.546116096,0.6341328921974083,8930719.26553228,2.744696093653507,4.725394,20,18,7,9,-84,-81,-91,-89,[]
2025-01-21 09:54:15.035607040,0.08264462809917356,9867540.16475501,1.6113111679035867,4.372944,20,18,8,9,-83,-80,-91,-89,[]
2025-01-21 09:54:20.182665984,0.19305019305019305,9943041.563912196,1.3476321664092128,4.267539,20,18,2,8,-89,-82,-91,-90,[]
2025-01-21 09:54:25.253812992,0.13804527885146328,9998275.20862682,1.0218625306791633,4.232356,20,18,4,9,-87,-82,-92,-91,[]
2025-01-21 09:54:30.380781056,1.1871893981225843,9998315.723434446,1.1747825044077307,4.197764,18,19,10,7,-82,-84,-91,-91,[]
2025-01-21 09:54:35.315348992,0.11043622308117063,9998241.843737664,1.1692778866268136,4.201165,18,19,4,8,-87,-83,-92,-91,[]
2025-01-21 09:54:40.234427904,0.08282716731087797,9998315.723434446,1.0279676396254538,4.198793,18,19,8,7,-83,-84,-91,-92,[]
2025-01-21 09:54:45.174907904,0.3036996134732192,9998101.237008573,1.9372927775318118,4.222223,18,19,5,6,-86,-84,-91,-90,[]
2025-01-21 09:54:50.128997120,0.05521811154058531,9998339.55582761,0.856568841003893,4.20049,18,19,3,6,-88,-84,-91,-90,[]
2025-01-21 09:54:55.071127808,0,9998353.85531804,1.0673342334516152,4.198966,18,19,5,6,-87,-84,-92,-90,[]
2025-01-21 09:55:07.183769856,0.22044640396803528,9865210.637858987,1.5868341683355922,4.283151,18,19,7,8,-84,-84,-92,-91,[]
2025-01-21 09:55:12.204442880,0,9998310.95696945,1.250003252418285,4.199256,18,19,4,6,-86,-85,-90,-91,[]
2025-01-21 09:55:17.173835008,0.08282716731087797,9998353.85531804,1.3744549375188349,4.205568,18,19,8,6,-84,-84,-92,-90,[]
2025-01-21 09:55:22.146116096,0.35891772501380453,9998325.25637808,2.405541673969101,4.259079,18,19,4,7,-86,-83,-90,-89,[]
2025-01-21 09:55:27.231528960,1.0215350635008282,9998399.137307586,1.3433758324729683,4.218488,20,19,9,10,-82,-81,-91,-91,[]
2025-01-21 09:55:32.222731008,1.4080618442849255,9998349.088816686,3.4976171196948025,4.343312,20,19,8,9,-83,-82,-91,-92,[]
2025-01-21 09:55:37.323281920,0,9998299.040826833,0.7115712013366102,4.196985,20,19,3,8,-88,-83,-92,-91,[]
2025-01-21 09:55:43.243436032,0.027609055770292656,9998303.80728047,1.5122862580301315,4.214333,20,19,4,8,-87,-83,-91,-91,[]
2025-01-21 09:55:48.224864,0.05521811154058531,9998332.40609773,1.2593066998021816,4.229427,20,19,3,7,-88,-84,-91,-90,[]
2025-01-21 09:55:53.204427008,0,9998260.90936134,0.585591010225287,4.199345,20,19,7,9,-84,-82,-91,-90,[]
2025-01-21 09:55:58.176992768,0.10979961570134504,9799785.38265956,0.7403098157168302,4.324377,20,19,3,7,-88,-82,-91,-90,[]
2025-01-21 09:56:03.255785984,0,9998289.507933194,1.21674364436636,4.197434,20,19,9,7,-83,-83,-92,-90,[]
2025-01-21 09:56:08.180326912,0,9998339.55582761,1.510180314141111,4.205275,20,19,7,8,-84,-82,-92,-90,[]
2025-01-21 09:56:13.132523008,0.027609055770292656,9998356.238570424,0.80041412084143,4.202628,20,19,4,6,-87,-84,-92,-90,[]
2025-01-21 09:56:18.191705856,0,9998341.939073175,2.265277083162342,4.299536,20,18,1,9,-90,-82,-91,-91,[]
2025-01-21 09:56:23.230966016,0.46935394809497516,9998349.088816686,1.1387331870996569,4.211304,20,18,5,9,-86,-82,-92,-91,[]
2025-01-21 09:56:28.172935936,0,9998318.10666865,1.480272453879189,4.207833,20,18,2,8,-89,-81,-91,-91,[]
2025-01-21 09:56:33.132894976,0.027609055770292656,9998320.48990399,1.5275151111500718,4.228098,20,18,7,10,-85,-81,-92,-91,[]
2025-01-21 09:56:38.084741120,0,9998330.02285671,1.4325596342005775,4.20099,20,18,8,9,-84,-82,-91,-91,[]
