timestamp,packet_drop_percentage,bits_per_second,jitter_ms,seconds,receiver_txpower,sender_txpower,receiver_sender_SNR,sender_receiver_SNR,receiver_sender_RSSI,sender_receiver_RSSI,receiver_noise,sender_noise,route
2024-11-14 22:04:37.696695040,0.1932633903920486,9998206.095889254,1.5283436037831177,4.231735,12,12,16,15,-75,-75,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:04:42.850318080,0.027609055770292656,9998361.005078595,1.2554821761233443,4.197735,12,12,16,15,-75,-75,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:04:48.078962176,0.2477291494632535,10000661.091980422,0.6445706785629458,4.247675,12,12,15,15,-76,-76,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:04:53.167730176,0.3313086692435119,9998287.124712624,1.341351053232642,4.224883,12,12,13,16,-78,-75,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:04:58.229690112,1.1595803423522915,9998377.68789299,1.2706139979886257,4.205749,12,12,15,14,-76,-77,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:03.383582976,2.9265599116510215,9998306.190508993,1.0935049673477424,4.234929,12,12,13,16,-78,-75,-92,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:08.453255936,0.05521811154058531,9998203.712708447,1.532812494385717,4.219,12,12,14,15,-77,-75,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:05:13.527067904,0.027609055770292656,9998353.85531804,1.1423000628609088,4.197809,12,12,15,16,-76,-75,-92,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:18.558130944,0,9998389.60422307,1.535640657860071,4.20588,12,12,16,16,-76,-75,-92,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:23.644905216,0.08282716731087797,9998296.65760172,0.5362229595405752,4.196724,12,12,16,16,-75,-75,-92,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:28.810714880,0.1932633903920486,9998351.472066795,1.4654989642751972,4.204872,17,20,27,23,-65,-68,-92,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:33.911429888,0.27609055770292656,9998282.35827489,1.0520566769468223,4.199041,17,20,24,21,-67,-70,-92,-90,"['spitz4', 'spitz2']"
2024-11-14 22:05:38.930582016,0.13804527885146328,9998146.51670995,1.1948202600155706,4.198852,17,20,25,21,-67,-70,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:05:44.044887040,0.2484815019326339,9998325.25637808,1.0626688278630723,4.202892,17,20,24,21,-67,-70,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:05:49.103337984,0.08282716731087797,9998308.573738653,1.2387966529655268,4.204854,17,20,23,20,-68,-70,-92,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:54.156215808,0.3036996134732192,9998315.723434446,1.1125501866418188,4.202339,17,20,23,21,-68,-70,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:05:59.192627968,0.08282716731087797,9998241.843737664,0.930842322239671,4.196864,17,20,23,22,-68,-69,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:04.247674112,0.027609055770292656,9998368.154849377,0.846605426622053,4.198466,17,20,23,21,-68,-70,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:09.295682048,0.027609055770292656,9998337.17258318,0.889908712407333,4.196482,17,20,23,21,-68,-70,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:14.326686976,0.717835450027609,9998363.388334386,1.1451221436487191,4.197365,17,20,23,20,-68,-71,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:19.468819968,0.5245720596355604,9998368.154849377,1.2028599707315448,4.291739,11,10,13,21,-78,-70,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:24.751889920,0,9998179.88096288,2.19452448070508,4.219765,11,10,14,14,-77,-76,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:06:29.926204928,0,9998296.65760172,0.9048989352798015,4.196914,11,10,14,15,-77,-76,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:34.951319808,0.027609055770292656,9998201.329528777,1.518058970419252,4.209387,11,10,13,14,-78,-76,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:40.018100992,1.0215350635008282,9998389.60422307,2.1851961056415576,4.252018,11,10,15,13,-76,-77,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:06:45.137444864,0,9998382.454421613,1.1346377731669204,4.21396,11,10,14,15,-77,-76,-91,-91,"['spitz4', 'spitz2']"
2024-11-14 22:06:50.192506112,1.6565433462175594,9998315.723434446,1.3072867203101193,4.201649,11,10,13,11,-78,-78,-92,-89,"['spitz4', 'spitz2']"
2024-11-14 22:06:55.217979904,0.3036996134732192,9998349.088816686,1.587240776744781,4.221615,11,10,14,14,-77,-76,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:07:00.297111040,0.0276166804750069,9998308.573738653,1.3678501988521377,4.214141,11,10,13,13,-78,-77,-91,-90,"['spitz4', 'spitz2']"
2024-11-14 22:07:05.381387008,0,9998380.07115673,1.4639014482285424,4.20791,11,10,14,14,-77,-76,-92,-90,"['spitz4', 'spitz2']"
